Account address,Show boosts,Notify on new posts,Languages
@freeassange@poliverso.org,true,false,
@scuola@poliverso.org,true,false,
@feddit@poliverso.org,true,false,
@cybersecurity@poliverso.org,true,false,
@macfranc@poliversity.it,true,false,
@notizie@poliverso.org,true,false,
@poliversity@poliverso.org,true,false,
@informapirata@mastodon.uno,true,false,
@impactology@mastodon.social,true,false,
@aradiacollective@socel.net,true,false,
@okilies@blorbo.social,true,false,
@naan@sakurajima.moe,true,false,
@privacypost@poliverso.org,true,false,
@piratepost@poliverso.org,true,false,
@pirati@sociale.network,true,false,
@privacypride@mastodon.social,true,false,
@orbitalmartian@alpha.polymaths.social,true,false,
@bonealisa@infosec.town,true,false,
@jjude@mastodon.world,true,false,
@bwinkers@izzup.com,true,false,
@andreeafont@universeodon.com,true,false,
@paco@infosec.exchange,true,false,
@olliefrancis@mastodon.world,true,false,
@Big_Diggity@theres.life,true,false,
@matt@social.0x2142.com,true,false,
@dmarti@federate.social,true,false,
@alisynthesis@io.waxandleather.com,true,false,
@carturo222@geekdom.social,true,false,
@thorsten@puzich.social,true,false,
@astrojuanlu@social.juanlu.space,true,false,
@bengt@ljs.social,true,false,
@joxe@mastodon.eus,true,false,
@rhold@norden.social,true,false,
@MastodonDE@mastodon.de,true,false,
@AnneFrankInNorden@mastodon.de,true,false,
@timmoe85@norden.social,true,false,
@leemeade@mastodonapp.uk,true,false,
@ErikUden@mastodon.de,true,false,
@voided@hachyderm.io,true,false,
@Steve@mstdn.co.uk,true,false,
@scottjenson@social.coop,true,false,
@spook@pleroma.m68k.church,true,false,
@mala@fosstodon.org,true,false,
@Kirkman@mastodon.social,true,false,
@gurupanguji@mastodon.social,true,false,
@kgb1001001@mstdn.social,true,false,
@kevinctofel@hachyderm.io,true,false,
@jcrabapple@dmv.community,true,false,
@josh@sciences.social,true,false,
@sue@glasgow.social,true,false,
@wild1145@mastodonapp.uk,true,false,
@arduinoLibs@fosstodon.org,true,false,
@tobozo@mastodon.social,true,false,
@qmacro@hachyderm.io,true,false,
@luca@social.luca.run,true,false,
@lahosken@hachyderm.io,true,false,
@dirk@twentyzen.social,true,false,
@jonn_blanchard@retrochat.online,true,false,
@andypiper@macaw.social,true,false,
@eljhkrr@gumzo.africa,true,false,
@ner3y@social.lol,true,false,
@makeinplace@mastodon.design,true,false,
@ewen@mastodon.fedi.bzh,true,false,
@atthenius@fediscience.org,true,false,
@elsua@mastodon.social,true,false,
@SeanHeavy@groovytoot.com,true,false,
@jaycruz@fosstodon.org,true,false,
@bobginpgh@mastodon.world,true,false,
@driph@mastodon.social,true,false,
@blag@typo.social,true,false,
@flavigula@sonomu.club,true,false,
@adamrice@c.im,true,false,
@Leisureguy@mstdn.ca,true,false,
@santisbon@fedia.social,true,false,
@spotlightonpod@social.lol,true,false,
@qburns@mas.to,true,false,
@JamesGleick@zirk.us,true,false,
@boostventilator@xoxo.zone,true,false,
@maya@occult.institute,true,false,
@willsh@assemblag.es,true,false,
@humdrum@social.lol,true,false,
@stfn@fosstodon.org,true,false,
@po3mah@mastodon.social,true,false,
@clive@saturation.social,true,false,
@shaknais@mastodon.social,true,false,
@ArtBear@mastodonapp.uk,true,false,
@phillipdewet@mastodonapp.uk,true,false,
@Lichtenbergian@mastodon.sdf.org,true,false,
@torstentorsten@social.tchncs.de,true,false,
@fastfinge@equestria.social,true,false,
@cragsand@mastodon.social,true,false,
@madargon@is-a.cat,true,false,
@bookstardust@bildung.social,true,false,
@HumanServitor@mastodon.social,true,false,
@gruik@piaille.fr,true,false,
@bilbo_le_hobbit@mamot.fr,true,false,
@ewen@photog.social,true,false,
@trystimuli@loðfíll.is,true,false,
@benzucker@maly.io,true,false,
@brunomiguel@masto.pt,true,false,
@MediaActivist@todon.eu,true,false,
@jameshjacksonjr@twit.social,true,false,
@mikemathia@ioc.exchange,true,false,
@MontgomeryGator@fouroclockfarms.club,true,false,
@StampedingLonghorn@social.linux.pizza,true,false,
@voidedmain@craftodon.social,true,false,
@PSOklahoma@brands.town,true,false,
@BalooUriza@social.tulsa.ok.us,true,false,
@mcmullin@musicians.today,true,false,
@mmeier@social.mei-home.net,true,false,
@ojrask@piipitin.fi,true,false,
@damon@firefish.social,true,false,
@lkanies@hachyderm.io,true,false,
@Lambo@scholar.social,true,false,
@dhuyvetter@mastodon.social,true,false,
@crt0mega@www.c-r-t.tk,true,false,
@randulo@pixelfed.social,true,false,
@oxpal@mastodon.coffee,true,false,
@DoctorDNS@masto.ai,true,false,
@projetslibres_podcast@piaille.fr,true,false,
@davidoclubb@toot.wales,true,false,
@qu33n@comfy.social,true,false,
@dnddeutsch@mastodon.pnpde.social,true,false,
@w7voa@journa.host,true,false,
@AmyIsCoolz@sauropods.win,true,false,
@abuseofnotation@mathstodon.xyz,true,false,
@Addictions2024@theaddict.ink,true,false,
@chris@mstdn.chrisalemany.ca,true,false,
@ewan@cybre.club,true,false,
@riversidebryan@hugs.lgbt,true,false,
@simoncampbell@mastodon.art,true,false,
@pdp8@social.pdp8.info,true,false,
@dickrubin716@mastodonbooks.net,true,false,
@luka@sonomu.club,true,false,
@uastronomer@mastodon.monoceros.co.za,true,false,
@rotfarm@eldritch.cafe,true,false,
@max@torontodiy.xyz,true,false,
@juliancday@writing.exchange,true,false,
@libramoon@mastodon.social,true,false,
@Yuki@im-in.space,true,false,
@escapetofreedom@mastodon.social,true,false,
@lminiero@fosstodon.org,true,false,
@housepanther@masto.goblackcat.net,true,false,
@venthewolf@meow.social,true,false,
@randulo@universeodon.com,true,false,
@dilman@www.dilmandila.com,true,false,
@dilmandila@mograph.social,true,false,
@doctorambient@mastodon.social,true,false,
@James@social.strangetextures.com,true,false,
@hamedph@mastodon.social,true,false,
@NicolasCelnik@mastodon.social,true,false,
@alex@social.alexhyett.com,true,false,
@golang_discussions@mastodon.social,true,false,
@Marie@transfem.social,true,false,
@youronlyone@c.im,true,false,
@stefan@stefanbohacek.online,true,false,
@muz4now@mastodon.world,true,false,
@Jazzaria@mastodon.art,true,false,
@taalumot@stoat.zone,true,false,
@SrRochardBunson@universeodon.com,true,false,
@mykie@haunt.graveyard.boo,true,false,
@browneyes@mastodon.social,true,false,
@venya@musicians.today,true,false,
@Sadderp@mindly.social,true,false,
@vertis@hachyderm.io,true,false,
@Canada_Mel@mas.to,true,false,
@Geekscorner@mastodon.social,true,false,
@eloquence@social.coop,true,false,
@SmartmanApps@dotnet.social,true,false,
@anisp@sakurajima.moe,true,false,
@volephd@fediscience.org,true,false,
@Life_is@no-pony.farm,true,false,
@gregandcin@mindly.social,true,false,
@robb@social.lol,true,false,
@drmorrisj@mastodon.social,true,false,
@lukem@hachyderm.io,true,false,
@catgirl@fedi.catgirlin.space,true,false,
@teahands@mastodon.gamedev.place,true,false,
@thegiddystitcher@sunny.garden,true,false,
@IndieDiva@mstdn.ca,true,false,
@marksquires@epicure.social,true,false,
@prysmcat@universeodon.com,true,false,
@pinhman@mstdn.ca,true,false,
@north@fosstodon.org,true,false,
@adam@fedi.rusadam.hu,true,false,
@0mega@social.c-r-t.tk,true,false,
@tyil@fedi.tyil.nl,true,false,
@glauber@writing.exchange,true,false,
@tyote@mastodon.social,true,false,
@julian@fietkau.social,true,false,
@MOULE@moule.world,true,false,
@randulo@mastodon.social,true,false,
